goalie_id,goalie_name,total_shots_faced,total_xGA,total_GA,raw_gsax,regressed_gsax,league_sv_pct,calculated_at
8476914,Joonas Korpisalo,2944,269.9584,242,27.9584,23.8994,0.9254,2025-12-15 10:13:14.910556
8476932,Anthony Stolarz,452,31.5745,26,5.5745,2.6467,0.9254,2025-12-15 10:13:14.910556
8476932,Anthony Stolarz,2947,277.781,203,74.781,63.9337,0.9254,2025-12-15 10:13:14.910556
8476945,Connor Hellebuyck,759,54.3167,39,15.3167,9.2338,0.9254,2025-12-15 10:13:14.910556
8476945,,17,0.6563,4,-3.3437,-0.1099,0.9254,2025-12-15 10:13:14.910556
8476945,Connor Hellebuyck,5416,495.0688,338,157.0688,143.7939,0.9254,2025-12-15 10:13:14.910556
8476999,Linus Ullmark,591,43.6633,28,15.6633,8.4849,0.9254,2025-12-15 10:13:14.910556
8476999,Linus Ullmark,4227,377.5904,317,60.5904,54.1814,0.9254,2025-12-15 10:13:14.910556
8477035,Matt Tomkins,155,10.743,12,-1.257,-0.2975,0.9254,2025-12-15 10:13:14.910556
8477035,Matt Tomkins,138,12.647,10,2.647,0.5726,0.9254,2025-12-15 10:13:14.910556
8477293,Antti Raanta,421,33.3273,31,2.3273,1.0638,0.9254,2025-12-15 10:13:14.910556
8477293,Antti Raanta,502,53.6299,62,-8.3701,-4.1934,0.9254,2025-12-15 10:13:14.910556
8477361,Cal Petersen,141,8.0771,12,-3.9229,-0.8629,0.9254,2025-12-15 10:13:14.910556
8477361,Cal Petersen,51,4.4552,7,-2.5448,-0.2355,0.9254,2025-12-15 10:13:14.910556
8477405,Marcus Hogberg,293,28.7425,26,2.7425,1.0133,0.9254,2025-12-15 10:13:14.910556
8477424,Juuse Saros,695,46.6658,44,2.6658,1.5504,0.9254,2025-12-15 10:13:14.910556
8477424,Juuse Saros,5506,488.4641,391,97.4641,89.3502,0.9254,2025-12-15 10:13:14.910556
8477465,Tristan Jarry,781,54.7657,46,8.7657,5.3442,0.9254,2025-12-15 10:13:14.910556
8477465,Tristan Jarry,3665,335.6015,298,37.6015,33.0875,0.9254,2025-12-15 10:13:14.910556
8477480,Eric Comrie,350,28.3767,33,-4.6233,-1.9037,0.9254,2025-12-15 10:13:14.910556
8477480,Eric Comrie,1741,145.8266,122,23.8266,18.5106,0.9254,2025-12-15 10:13:14.910556
8477484,Spencer Martin,283,20.7508,25,-4.2492,-1.5358,0.9254,2025-12-15 10:13:14.910556
8477484,Spencer Martin,696,68.8331,75,-6.1669,-3.5887,0.9254,2025-12-15 10:13:14.910556
8477831,Pheonix Copley,180,13.8063,20,-6.1937,-1.6395,0.9254,2025-12-15 10:13:14.910556
