player_id,situation,on_ice_xgf,on_ice_xga,shots_for_count,shots_against_count
8470594,5v5,0.27671346813440323,0.5848731207661331,3,11
8470594,PK,0.24505077861249447,0.11840511858463287,5,2
8470613,5v5,2.07313189742749,1.2445133640116819,28,18
8470613,PK,0.12466656617763283,0.0,3,0
8471215,5v5,0.15647018750425373,0.31159401205562015,3,4
8471215,PK,0.0,0.13499907779781897,0,2
8471675,5v5,1.1997538760986592,1.1472095599105918,12,15
8471675,PK,0.0,0.18579158951203942,0,3
8471677,5v5,0.25969422422349453,0.0,2,0
8471685,5v5,0.807355429057239,0.5018424238421118,16,10
8471685,PK,0.20309896671019015,0.38964697814744675,4,4
8471685,PP,0.0,0.0012379360850900412,0,1
8471724,5v5,1.9094631516241676,1.4003691908335858,19,22
8471724,PK,0.0,0.13499907779781897,0,2
8473419,5v5,1.7998067963776956,0.5434159900763714,20,8
8473419,PK,0.44626828022755954,0.22537613145369959,6,3
8473419,PP,0.2362634549541704,0.0,2,0
8473422,5v5,0.7076055258416172,0.5501587072964879,4,8
8473422,PK,0.0,0.29862377898349934,0,3
8473453,5v5,0.12368381768465042,0.0,1,0
8473453,PP,0.0,0.0012379360850900412,0,1
8473507,5v5,0.1748268665945721,0.1613388173185821,5,1
8473507,PK,0.29862377898349934,0.0,3,0
8473533,5v5,0.7020163740962744,0.6213217279873788,7,6
8474013,5v5,0.0452754981815815,0.03514113277196884,1,1
8474037,5v5,0.27836042642593384,0.5931846890598536,1,4
8474037,PK,0.31534984707832336,0.0,2,0
8474037,PP,0.0,0.12336621433496475,0,1
8474151,5v5,0.18300771713256836,0.0,1,0
8474166,5v5,0.007278704550117254,0.2048683688044548,1,2
8474563,5v5,0.76803246368678,0.2243843126333417,16,4
8474563,PK,0.37990022523766603,0.24335712659069428,6,4
8474565,5v5,0.18384666182100773,0.0,4,0
8474565,PK,0.1622491329908371,0.0,1,0
8474567,5v5,0.09229186922311783,0.3440833054482937,2,6
8474567,PK,0.19436390325427055,0.0,3,0
8474578,5v5,1.2133389006615973,0.9828259622832326,15,18
8474578,PK,0.0,0.13499907779781897,0,2
8474673,5v5,0.06583196436986327,0.45449000410735607,2,6
8474673,PK,0.04898812994360924,0.0,1,0
8475151,5v5,0.17284627258777618,0.25969422422349453,1,2
