player_id,shooting_talent_multiplier,observed_ratio,total_shots,total_goals,total_xG
8470613.0,1.0166894325454037,1.4628034640333267,108.0,4.0,2.734475340228528
8470621.0,0.9714159336675168,0.7496451241686998,77.0,7.0,9.337751656508772
8471214.0,1.0405174860252429,1.3168481325586059,140.0,14.0,10.631446143146604
8471215.0,1.017590573158223,1.1661219394392195,91.0,10.0,8.57543251849711
8471675.0,1.1112144105073676,1.9144058128333912,99.0,20.0,10.447105763014406
8471685.0,0.9865956017109812,0.8489982498950881,67.0,6.0,7.067152377218008
8471724.0,0.9825182559856059,0.5997234962353832,71.0,2.0,3.3348701735958457
8473419.0,1.0862981101576898,1.6834331283542003,131.0,18.0,10.692435414763168
8473512.0,0.9903656317723288,0.8426243105925543,63.0,4.0,4.747074051527306
8473533.0,1.038461661759869,1.442889092381451,66.0,10.0,6.93053960474208
8473604.0,0.9464044800109671,0.41017266255667406,63.0,3.0,7.313993042102084
8473986.0,0.9432278031631036,0.30600356296967657,77.0,2.0,6.535871610743925
8474037.0,0.9833428841976716,0.854652260499633,70.0,8.0,9.360532195074484
8474102.0,0.983226393172683,0.6985220235923688,52.0,3.0,4.294782266952097
8474141.0,0.9788491388133534,0.7487355380851893,92.0,5.0,6.6779253096319735
8474150.0,1.0003923407072854,1.0061356240836554,87.0,5.0,4.9695089611341245
8474564.0,0.9980792364577483,0.981030099875512,93.0,8.0,8.154693725518882
8474574.0,0.9857806313534416,0.4831527591023784,56.0,1.0,2.0697387754917145
8474578.0,0.9628997794275637,0.2590806941366844,105.0,1.0,3.859801299870014
8474586.0,0.9877116672873367,0.8990566765955733,105.0,9.0,10.010492368601263
8474590.0,1.012469836749266,1.1928981570891584,91.0,6.0,5.029767180327326
8474600.0,0.995018569360772,0.8417990339267858,53.0,2.0,2.3758639763109386
8474641.0,0.9416380386578331,0.29973112948512115,67.0,2.0,6.67264692671597
8474716.0,0.9797234505358773,0.39452832529467496,51.0,1.0,2.5346722551621497
8475149.0,1.0329631992536752,1.408823288307173,64.0,9.0,6.3883100703242235
8475151.0,0.9579417006938721,0.667130029386082,101.0,7.0,10.492707106051967
8475158.0,1.0220689060612953,1.1957126843592232,72.0,11.0,9.19953442318365
8475166.0,0.9843410252515346,0.9059587403861544,123.0,13.0,14.349439351353794
8475167.0,0.9759516480338425,0.0,56.0,0.0,1.8059470648877323
8475169.0,0.961380241120689,0.6155372924085609,118.0,5.0,8.12298468616791
8475170.0,1.0073414102587086,1.079112930693784,72.0,8.0,7.413496560417116
8475171.0,1.0201903534062657,1.6174997079585807,68.0,4.0,2.4729525330476463
8475172.0,0.9636548128333885,0.7251650181544809,148.0,8.0,11.03197175776586
8475184.0,1.0419293266323624,1.3607853364666178,83.0,13.0,9.553306940943003
8475188.0,0.9746726844076347,0.0,51.0,0.0,1.9045588290318847
8475200.0,0.9805414334860872,0.0,56.0,0.0,1.4543716222979128
8475218.0,0.9666225823831315,0.4355388489841058,92.0,2.0,4.59201287018368
8475279.0,1.0362930957695695,3.1150694375424894,52.0,4.0,1.284080525394529
8475287.0,0.9910753346426896,0.8772702145433608,64.0,5.0,5.699498190078884
8475314.0,0.8860924883553406,0.3657962242615675,128.0,6.0,16.40257499134168
8475692.0,0.9955120835955065,0.897558088915847,51.0,3.0,3.3424020540260244
8475722.0,1.0074500946504596,1.0647741720366326,71.0,10.0,9.391662816982716
8475726.0,0.9967623758585461,0.9644300410537613,92.0,7.0,7.25817291252315
8475745.0,0.9945728091836455,0.9416648449596347,66.0,7.0,7.433642699383199
8475753.0,1.0346691656263625,1.793890505471896,79.0,6.0,3.3446857440285385
8475754.0,1.042118151216574,1.4453997352066752,74.0,11.0,7.610351470299065
8475760.0,0.9936056168208153,0.8900089192700236,61.0,4.0,4.494336981792003
8475764.0,0.997889016778365,0.9264100258201478,62.0,2.0,2.1588712818920612
8475765.0,0.9746417606639126,0.603036198080963,59.0,3.0,4.974825739394873
8475768.0,1.020770691649146,1.2582200417894487,69.0,8.0,6.358188340906054
8475791.0,0.9801603208199656,0.7905456906778707,75.0,6.0,7.5896941451355815
8475794.0,1.0201301904990137,1.290201335573139,58.0,7.0,5.425509807653725
8475799.0,1.0023367701252583,1.0272085271252795,59.0,7.0,6.814585174433887
8475810.0,0.9681017391722403,0.7707293812618159,113.0,9.0,11.677250431617722
8475842.0,0.9597701867162832,0.24316911390529328,51.0,1.0,4.112364370375872
8475848.0,0.9314628746343121,0.15384479007134688,66.0,1.0,6.500057619996369
8476292.0,0.9668341796886628,0.4371613965787694,55.0,2.0,4.574969372071791
8476312.0,0.9930149465807403,0.7911363523347663,58.0,2.0,2.528009228873998
8476372.0,0.9794291231990869,0.0,58.0,0.0,1.5392486746422946
8476374.0,0.9696261648846796,0.45967473343070064,69.0,2.0,4.350902615580708
8476399.0,0.9827124230556746,0.8498952763409152,98.0,8.0,9.412924418691546
8476422.0,0.9878121592192868,0.5221641650786928,56.0,1.0,1.91510652564466
8476429.0,0.9789511984256717,0.0,51.0,0.0,1.575780832208693
8476432.0,0.9785475030713031,0.6432470359976166,51.0,3.0,4.663838046835735
8476438.0,0.946798008922478,0.1929711844440028,64.0,1.0,5.18212085851701
8476441.0,1.0058113454806052,1.2774734030376869,62.0,2.0,1.5655903248116374
8476453.0,1.0530475494221703,1.4998730116472092,149.0,13.0,8.66740043926984
8476455.0,0.9568217386919788,0.5875172277093919,96.0,5.0,8.510388741269708
8476456.0,0.9778469768850274,0.771277490534697,67.0,6.0,7.779301319736987
8476459.0,0.9830242221027717,0.8847030019639341,139.0,11.0,12.433551118941978
