our_game_id,our_player_id,our_shot_x,our_shot_y,our_distance,our_angle,our_xg,our_is_goal,our_is_rebound,our_is_slot_shot,our_has_pass,mp_shotID,mp_game_id,mp_xCord,mp_yCord,mp_shotDistance,mp_shotAngle,mp_xGoal,mp_goal,mp_shotRebound,mp_shotRush,mp_lastEventCategory,match_distance,xg_difference,xg_ratio
2025020178,8476455,80.0,-15.0,17.4928556845359,59.03624346792648,0.0949999988079071,False,False,0,False,15012,20178,80,-15,17.4928556845,-59.0362434679,0.0380236,0,0,0,BLOCK,0.0,0.05697639880790711,2.4984483007370977
2025020178,8484258,32.0,-28.0,63.50590523722971,26.161566442019243,0.0755380690097808,False,False,0,False,15013,20178,32,-28,63.5059052372,-26.161566442,0.0106586,0,0,0,SHOT,0.0,0.0648794690097808,7.0870535539171
2025020178,8476455,77.0,29.0,31.38470965295043,67.5205656028969,0.0949999988079071,False,False,0,False,15014,20178,77,29,31.384709653,67.5205656029,0.0141481,0,0,0,BLOCK,0.0,0.08085189880790711,6.714682452619582
2025020178,8470613,37.0,-16.0,54.405882034941776,17.102728969052375,0.0949999988079071,False,False,0,False,15017,20178,37,-16,54.4058820349,-17.1027289691,0.0126132,0,0,0,MISS,0.0,0.0823867988079071,7.53179199631395
2025020167,8477496,71.0,6.0,18.97366596101028,18.43494882292201,0.0949999988079071,False,False,0,False,14026,20167,71,6,18.973665961,18.4349488229,0.0894998,0,0,0,FAC,0.0,0.0055001988079071,1.0614548726132025
2025020113,8480995,68.0,12.0,24.186773244895647,29.74488129694222,0.0949999988079071,False,False,0,False,9277,20113,68,12,24.1867732449,29.7448812969,0.0729994,0,0,0,SHOT,0.0,0.0220005988079071,1.3013805429620942
2025020167,8479325,26.0,-28.0,68.94200461257273,23.962488974578186,0.0749067515134811,False,False,0,False,14024,20167,26,-28,68.9420046126,-23.9624889746,0.0110365,0,0,0,HIT,0.0,0.0638702515134811,6.787183573912119
2025020178,8478109,49.0,-14.0,42.37924020083418,19.29004621918873,0.0949999988079071,False,False,0,False,15023,20178,49,-14,42.3792402008,-19.2900462192,0.0315335,0,0,0,HIT,0.0,0.06346649880790711,3.0126690284271365
2025020178,8477492,60.0,-3.0,29.154759474226505,5.9061411137705,0.0949999988079071,False,False,0,False,15026,20178,60,-3,29.1547594742,-5.90614111377,0.0933518,0,0,0,FAC,0.0,0.0016481988079071058,1.0176557796197514
2025020178,8477476,71.0,10.0,20.591260281974,29.054604099077142,0.0949999988079071,False,False,0,False,15027,20178,71,10,20.591260282,29.0546040991,0.0683984,0,0,0,MISS,0.0,0.026601598807907106,1.3889213608491882
