xg_bin,mean_predicted_xg,actual_goal_rate,goals,shots
0-0.05,0.023315523581699898,0.029988910852900053,622,20741
0.05-0.1,0.07211614843975968,0.0875712175564465,830,9478
0.1-0.15,0.12290258428453162,0.130479735318445,631,4836
0.15-0.2,0.17315055494369977,0.14498546511627908,399,2752
0.2-0.3,0.23889590738948208,0.1414445399828031,329,2326
0.3-0.5,0.3670851089452442,0.22105263157894736,147,665
0.5+,0.5707439405577523,0.4142857142857143,29,70
